23:40:16.694 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
00:12:13.558 [ApplicationImpl pooled thread 589] INFO  com.browserstack.utils.Helpers - null
00:12:13.558 [ApplicationImpl pooled thread 589] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:14:06.910 [ApplicationImpl pooled thread 586] INFO  c.b.l.BrowserStackRunExtension - testng
00:14:06.911 [ApplicationImpl pooled thread 586] INFO  com.browserstack.utils.Helpers - null
00:14:06.911 [ApplicationImpl pooled thread 586] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:41:48.283 [ApplicationImpl pooled thread 673] INFO  c.b.l.BrowserStackRunExtension - testng
22:41:48.283 [ApplicationImpl pooled thread 673] INFO  com.browserstack.utils.Helpers - null
22:41:48.283 [ApplicationImpl pooled thread 673] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:46:56.687 [ApplicationImpl pooled thread 662] INFO  c.b.l.BrowserStackRunExtension - testng
22:46:56.688 [ApplicationImpl pooled thread 662] INFO  com.browserstack.utils.Helpers - null
22:46:56.688 [ApplicationImpl pooled thread 662] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:48:31.674 [ApplicationImpl pooled thread 662] INFO  c.b.l.BrowserStackRunExtension - testng
22:48:31.674 [ApplicationImpl pooled thread 662] INFO  com.browserstack.utils.Helpers - null
22:48:31.674 [ApplicationImpl pooled thread 662] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:59:10.681 [ApplicationImpl pooled thread 679] INFO  c.b.l.BrowserStackRunExtension - testng
22:59:10.682 [ApplicationImpl pooled thread 679] INFO  com.browserstack.utils.Helpers - null
22:59:10.682 [ApplicationImpl pooled thread 679] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:39:14.434 [ApplicationImpl pooled thread 715] INFO  c.b.l.BrowserStackRunExtension - testng
23:39:14.434 [ApplicationImpl pooled thread 715] INFO  com.browserstack.utils.Helpers - null
23:39:14.434 [ApplicationImpl pooled thread 715] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:42:13.183 [ApplicationImpl pooled thread 722] INFO  c.b.l.BrowserStackRunExtension - testng
23:42:13.183 [ApplicationImpl pooled thread 722] INFO  com.browserstack.utils.Helpers - null
23:42:13.183 [ApplicationImpl pooled thread 722] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:45:35.049 [ApplicationImpl pooled thread 729] INFO  c.b.l.BrowserStackRunExtension - testng
23:45:35.050 [ApplicationImpl pooled thread 729] INFO  com.browserstack.utils.Helpers - null
23:45:35.050 [ApplicationImpl pooled thread 729] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
21:51:55.145 [ApplicationImpl pooled thread 758] INFO  c.b.l.BrowserStackRunExtension - testng
21:51:55.145 [ApplicationImpl pooled thread 758] INFO  com.browserstack.utils.Helpers - null
21:51:55.147 [ApplicationImpl pooled thread 758] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:50:54.254 [ApplicationImpl pooled thread 796] INFO  c.b.l.BrowserStackRunExtension - testng
22:50:54.254 [ApplicationImpl pooled thread 796] INFO  com.browserstack.utils.Helpers - null
